dataset,tag,seed,run,accuracy,balanced_accuracy,macro_f1,auroc,auprc,loss,val_macro_f1,best_round,last_round,n_test
isic2019,fedavg_a0.5_K10_E5,43,isic2019_fedavg_a0.5_K10_E5_s43,0.7182320441988951,0.5286283403189241,0.5438177207355157,0.9129578842394033,0.5701146926093835,0.9242329597473145,0.575389764903546,50,50,2534
isic2019,fedavg_a0.5_K10_E5,44,isic2019_fedavg_a0.5_K10_E5_s44,0.7273086029992107,0.5165838015420248,0.5164574599603695,0.9152586293171465,0.5713880664919903,0.8574538826942444,0.5474315885176164,19,50,2534
isic2019,fedavg_a0.5_K20_E2,42,isic2019_fedavg_a0.5_K20_E2_s42,0.675217048145225,0.48015898282968805,0.46732257811560424,0.9012322552128955,0.49909839933911493,0.9583754539489746,0.5159949739184024,6,50,2534
isic2019,fedavg_a0.5_K20_E2,43,isic2019_fedavg_a0.5_K20_E2_s43,0.6882399368587214,0.5324613759738098,0.5213072105588652,0.9077361436461305,0.5531412009975489,0.8769157528877258,0.5429278661891436,13,50,2534
isic2019,fedavg_a0.5_K20_E2,44,isic2019_fedavg_a0.5_K20_E2_s44,0.7229676400947119,0.5011225136152331,0.5057532746823099,0.9030075699809921,0.5198741898597121,0.8456869125366211,0.5400684547514059,32,50,2534
isic2019,fedavg_a0.5_K5_E2,42,isic2019_fedavg_a0.5_K5_E2_s42,0.7190213101815311,0.55676889635817,0.5419591047847409,0.9256067847517003,0.5788125636186987,0.8447831869125366,0.5808827268048741,44,50,2534
isic2019,fedavg_a0.5_K5_E2,43,isic2019_fedavg_a0.5_K5_E2_s43,0.7205998421468035,0.5311852255737466,0.5485521282867099,0.9223093674994404,0.5774633440169026,0.8338257670402527,0.562341153585831,48,50,2534
isic2019,fedavg_a0.5_K5_E2,44,isic2019_fedavg_a0.5_K5_E2_s44,0.7277032359905288,0.5298720671401667,0.5232337604608662,0.9236626768567117,0.5823995504660888,0.8274912238121033,0.5724200840931029,50,50,2534
isic2019,fedavg_a100_K10_E2,42,isic2019_fedavg_a100_K10_E2_s42,0.739542225730071,0.5692086546784709,0.5661151790355807,0.9262786556317952,0.5992109939984986,0.7911850214004517,0.6047849612419353,20,50,2534
isic2019,fedavg_a100_K10_E2,43,isic2019_fedavg_a100_K10_E2_s43,0.7261247040252565,0.5746399374663337,0.5712504465741824,0.9274085279376089,0.6064902664617448,0.821488618850708,0.6322419003760478,38,50,2534
isic2019,fedavg_a100_K10_E2,44,isic2019_fedavg_a100_K10_E2_s44,0.7419100236779794,0.5613756669578801,0.5619197899458919,0.9235212094971003,0.6000754533681234,0.7956027984619141,0.617805723991499,36,50,2534
isic2019,fedavg_a1_K10_E2,42,isic2019_fedavg_a1_K10_E2_s42,0.7292817679558011,0.5439423795636305,0.5389475752735206,0.9276726856735955,0.579698718151483,0.786604642868042,0.5899394842221442,29,50,2534
isic2019,fedavg_a1_K10_E2,43,isic2019_fedavg_a1_K10_E2_s43,0.7371744277821626,0.5617113254017496,0.5634610583528148,0.925967093075494,0.5845460051114841,0.8001673221588135,0.5674017232061185,42,50,2534
isic2019,fedavg_a1_K10_E2,44,isic2019_fedavg_a1_K10_E2_s44,0.7438831886345698,0.5434516029940852,0.5575557060918841,0.920687176518373,0.5800964046321783,0.8016964793205261,0.5759279400373717,27,50,2534
isic2019,fedprox_a0.5_K10_E2_mu0.001,42,isic2019_fedprox_a0.5_K10_E2_mu0.001_s42,0.7213891081294396,0.5217522217512015,0.5021317551456757,0.9183128059434524,0.5547395901940241,0.818506121635437,0.5582650830217819,43,50,2534
isic2019,fedprox_a0.5_K10_E2_mu0.01,42,isic2019_fedprox_a0.5_K10_E2_mu0.01_s42,0.72336227308603,0.5101108836644797,0.5037515102786891,0.9201995661736629,0.5643495489409163,0.8100204467773438,0.5480898255634858,43,50,2534
isic2019,fedprox_a0.5_K10_E2_mu0.1,42,isic2019_fedprox_a0.5_K10_E2_mu0.1_s42,0.6973164956590371,0.5100761542732656,0.48414286120369365,0.9071291355322255,0.5397184283394294,0.865968644618988,0.5634948283999283,38,50,2534
isic2019,fedprox_a0.5_K10_E2_mu0.1,43,isic2019_fedprox_a0.5_K10_E2_mu0.1_s43,0.7111286503551697,0.5207776521755577,0.5290063891088994,0.9175955813841581,0.5693443328673523,0.843512237071991,0.5540575294465289,39,50,2534
isic2019,fedprox_a0.5_K10_E2_mu0.1,44,isic2019_fedprox_a0.5_K10_E2_mu0.1_s44,0.7040252565114443,0.4860873913990306,0.48667969477637946,0.9055887505647537,0.5416771183496474,0.8644102215766907,0.5570439155511459,35,50,2534
